"j.old","j"
"ID respondenta","poradi"
"UID respondenta","ID"
"Datum vyplnění","datum"
"Délka vyplňování (s)","cas_sec"
"QS parametry","NA"
"1. Většinu svého výzkumu provádím:","misto_vyzkumu"
"1. Většinu svého výzkumu provádím: - vlastní odpověď","_jine"
"2. Jaký je můj hlavní obor (kombinace oborů)? (Dle oficiální klasifikace AV http://www.avcr.cz/cs/o-nas/struktura/vedni-oblasti/","obor"
"3. Provádím v současnosti základní výzkum?","zakl_vyzkum"
"4. Pokud chápete reprodukovatelnost nebo replikovatelnost jinak, napište prosím svoji definici:","reproduk"
"5. Slyšel(a)/četl(a) jsem o krizi reprodukovatelnosti jako o vědeckém problému? - Ne","rep_Ne"
"5. Slyšel(a)/četl(a) jsem o krizi reprodukovatelnosti jako o vědeckém problému? - Ano, v mainstreamových médiích","rep_Mainstream"
"5. Slyšel(a)/četl(a) jsem o krizi reprodukovatelnosti jako o vědeckém problému? - Ano, ve vědeckých časopisech","rep_Casopisy"
"5. Slyšel(a)/četl(a) jsem o krizi reprodukovatelnosti jako o vědeckém problému? - Ano, v diskuzích na konferencích","rep_Diskuse"
"5. Slyšel(a)/četl(a) jsem o krizi reprodukovatelnosti jako o vědeckém problému? - vlastní odpověď","rep_Vlastni"
"6. Existuje podle mého názoru krize reprodukovatelnosti?","krize_rep"
"7. Pokud ano, jakých oborů se podle mě tato krize týká? - Fyzikálních/chemických","krize_fyz"
"7. Pokud ano, jakých oborů se podle mě tato krize týká? - Biologických","krize_bio"
"7. Pokud ano, jakých oborů se podle mě tato krize týká? - Lékařských","krize_med"
"7. Pokud ano, jakých oborů se podle mě tato krize týká? - Sociálních","krize_soc"
"7. Pokud ano, jakých oborů se podle mě tato krize týká? - Nevím","krize_nevim"
"8. Jaký podíl publikovaných výsledků v mém oboru je reprodukovatelný? (Uveďte svůj nejlepší ODHAD) - Podíl reprodukovatelných výsledků","rep_podil"
"9. Do jaké míry souhlasím s následujícími tvrzeními? - Nereprodukovatelnost vědeckých studií je závažným problémem v mém oboru","nerep_problem"
"9. Do jaké míry souhlasím s následujícími tvrzeními? - Nereprodukovatelnost nějakého výsledku většinou znamená, že toto originální zjištění je chybné","nerep_chyba"
"9. Do jaké míry souhlasím s následujícími tvrzeními? - Nereprodukovatelnost nějakého výsledku jen málokdy ubírá na validitě originálního zjištění","nerep_valid"
"9. Do jaké míry souhlasím s následujícími tvrzeními? - Nereprodukovatelné výsledky ubírají vědě na objektivitě","nerep_neobj"
"9. Do jaké míry souhlasím s následujícími tvrzeními? - I nereprodukovatelné výsledky jsou součástí vědy","nerep_veda"
"9. Do jaké míry souhlasím s následujícími tvrzeními? - Během mé kariéry došlo k nárůstu podílu nereprodukovatelných výsledků","nerep_narust"
"10. Ve kterém regionu (regionech) je podle mého názoru V MÉM OBORU největší podíl nereprodukovatelných studií? - Evropa","reg_Evropa"
"10. Ve kterém regionu (regionech) je podle mého názoru V MÉM OBORU největší podíl nereprodukovatelných studií? - Severní Amerika","reg_Sev.Amerika"
"10. Ve kterém regionu (regionech) je podle mého názoru V MÉM OBORU největší podíl nereprodukovatelných studií? - Asie","reg_Asie"
"10. Ve kterém regionu (regionech) je podle mého názoru V MÉM OBORU největší podíl nereprodukovatelných studií? - Ve všech regionech je podíl nereprodukovatelných studií stejný","reg_vsude.stejne"
"10. Ve kterém regionu (regionech) je podle mého názoru V MÉM OBORU největší podíl nereprodukovatelných studií? - Nedokážu posoudit","reg_nevim"
"11. Ve které zemi nebo zemích je podle mě nejvyšší podíl nereprodukovatelného výzkumu?","nerep_zeme"
"12. Zaznamenal(a) jsem ze strany zahraničních vědců ve svém oboru despekt k českým vědcům nebo k české vědě (kvůli nižším standardům vědecké práce apod.)?","despekt"
"13. Pokud ano, z jakých zemí tito vědci převážně pocházeli?","desp_zeme"
"14. Pokud jsem zaznamenal(a) tento despekt: - Byla to jazyková záležitost, protože nejsem rodilý mluvčí","desp_jazyk"
"14. Pokud jsem zaznamenal(a) tento despekt: - Týkalo se to kvality vědecké práce","desp_kvalita"
"14. Pokud jsem zaznamenal(a) tento despekt: - Nedokážu posoudit","desp_nevim"
"14. Pokud jsem zaznamenal(a) tento despekt: - vlastní odpověď","desp_vlastni"
"15. Jak reaguji, když zjistím, že vědecké studie z určitých regionů vykazují ve větší míře vady nebo jsou nereprodukovatelné? - Přestanu číst úplně studie z tohoto regionu","reakce_nectu"
"15. Jak reaguji, když zjistím, že vědecké studie z určitých regionů vykazují ve větší míře vady nebo jsou nereprodukovatelné? - Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu","reakce_vyberu"
"15. Jak reaguji, když zjistím, že vědecké studie z určitých regionů vykazují ve větší míře vady nebo jsou nereprodukovatelné? - Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů","reakce_obezret"
"15. Jak reaguji, když zjistím, že vědecké studie z určitých regionů vykazují ve větší míře vady nebo jsou nereprodukovatelné? - Nijak, protože i studie z tohoto regionu mohou obsahovat cenné výsledky","reakce_nic"
"15. Jak reaguji, když zjistím, že vědecké studie z určitých regionů vykazují ve větší míře vady nebo jsou nereprodukovatelné? - V mém oboru jsou studie ze všech regionů stejně kvalitní","reakce_stejne"
"15. Jak reaguji, když zjistím, že vědecké studie z určitých regionů vykazují ve větší míře vady nebo jsou nereprodukovatelné? - Nevím","reakce_nevim"
"15. Jak reaguji, když zjistím, že vědecké studie z určitých regionů vykazují ve větší míře vady nebo jsou nereprodukovatelné? - vlastní odpověď","reakce_vlastni"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Podvody (smyšlené nebo falešné výsledky)","fakt_podvod"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Tlak na publikování kvůli kariéře","fakt_karier"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Nedostatečný dohled nebo nedostatečné vedení vedoucím laboratoře (např. kontrola hrubých experimentálních dat)","fakt_dohled"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Nedostatečné recenzní řízení","fakt_recenz"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Selektivní reportování výsledků","fakt_selekc"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Originální výsledky nejsou dostatečně robustní, protože nebyly dostatečně replikovány v laboratoři, která je zveřejnila","fakt_replik"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Originální výsledky vykazují nedostatečnou sílu testu nebo nedostatečnou statistickou analýzu","fakt_statis"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Chyby nebo nedostatečná odbornost na straně těch, kdo výzkum reprodukují","fakt_odborn"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Laboratoř, která výzkum provedla, neposkytla originální data","fakt_data"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Laboratoř, která výzkum provedla, neposkytla protokoly, počítačové kódy atd. nebo tyto informace nejsou postačující","fakt_dokume"
"16. Do jaké míry podle mě přispívají následující faktory k nereprodukovatelnosti výsledků? - Metody vyžadují speciální odborné znalosti, které je pro ostatní obtížné napodobit","fakt_metody"
